Key	Replace	Regex
MO	USA	^MO.*
MT	USA	^MT.*
NE	USA	^NE.*
NV	USA	^NV.*
NH	USA	^NH.*
NJ	USA	^NJ.*
NM	USA	^NM.*
NY	USA	^NY.*
NC	USA	^NC.*
ND	USA	^ND.*
OH	USA	^OH.*
OK	USA	^OK.*
OR	USA	^OR.*
PA	USA	^PA.*
RI	USA	^RI.*
SC	USA	^SC.*
SD	USA	^SD.*
TN	USA	^TN.*
TX	USA	^TX.*
UT	USA	^UT.*
VT	USA	^VT.*
VA	USA	^VA.*
WA	USA	^WA.*
WV	USA	^WV.*
WI	USA	^WI.*
WY	USA	^WY.*
DE	USA	^DE.*
FL	USA	^FL.*
GA	USA	^GA.*
HI	USA	^HI.*
ID	USA	^ID.*
IL	USA	^IL.*
IN	USA	^IN.*
IA	USA	^IA.*
KS	USA	^KS.*
KY	USA	^KY.*
LA	USA	^LA.*
ME	USA	^ME.*
MD	USA	^MD.*
MA	USA	^MA.*
MI	USA	^MI.*
MN	USA	^MN.*
MS	USA	^MS.*
MO	USA	^MO.*
MT	USA	^MT.*
NE	USA	^NE.*
NV	USA	^NV.*
NH	USA	^NH.*
NJ	USA	^NJ.*
NM	USA	^NM.*
NY	USA	^NY.*
NC	USA	^NC.*
ND	USA	^ND.*
OH	USA	^OH.*
OK	USA	^OK.*
OR	USA	^OR.*
PA	USA	^PA.*
RI	USA	^RI.*
SC	USA	^SC.*
SD	USA	^SD.*
TN	USA	^TN.*
TX	USA	^TX.*
UT	USA	^UT.*
VT	USA	^VT.*
VA	USA	^VA.*
WA	USA	^WA.*
WV	USA	^WV.*
WI	USA	^WI.*
WY	USA	^WY.*
